objective,metric,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,auc_train,f1_train,auc_test,f1_test
binary,auc,0.0,0.0,0.1,20,10,20,0.7093840729128736,0.6164124342500972,0.6670211610447682,0.5972737592374324
binary,auc,0.0,0.0,0.1,20,10,50,0.7498398200925757,0.6360288084960645,0.6680875293197843,0.5966366999527394
binary,auc,0.0,0.0,0.1,20,10,100,0.7815251422713234,0.6536004922213032,0.6619439035652923,0.5918329073601298
binary,auc,0.0,0.0,0.1,20,20,10,0.6828262480717391,0.5997099294339064,0.6578344068914425,0.5866093280171104
binary,auc,0.0,0.0,0.1,20,20,20,0.7102067914528907,0.6172227100497883,0.6680766938232825,0.5980945768196344
binary,auc,0.0,0.0,0.1,20,20,50,0.7476348499736313,0.6381608042615146,0.6711312738397074,0.5994330251699006
binary,auc,0.0,0.0,0.1,20,20,100,0.7802008463456968,0.6550188903071336,0.6657947034933556,0.5954421545008667
binary,auc,0.0,0.0,0.1,20,50,10,0.6831364672317927,0.5989902327240112,0.6583265705042814,0.5871144139387591
binary,auc,0.0,0.0,0.1,20,50,20,0.7059481287723965,0.6148441204245279,0.6679612272913173,0.5978371026726869
binary,auc,0.0,0.0,0.1,20,50,50,0.7427368893839824,0.6334038930524196,0.6721051165872458,0.599844397268412
binary,auc,0.0,0.0,0.1,20,50,100,0.7727959557027554,0.6533086133504904,0.6650965842681321,0.5932026919562827
binary,auc,0.0,0.0,0.1,20,100,10,0.679263034407406,0.5967297194694442,0.658284829292845,0.5873988252140175
binary,auc,0.0,0.0,0.1,20,100,20,0.7003421137984169,0.6121688953081715,0.667639645965339,0.5997633535208513
binary,auc,0.0,0.0,0.1,20,100,50,0.732642274231675,0.6292302110485831,0.6698633293111014,0.5976779014855333
binary,auc,0.0,0.0,0.1,20,100,100,0.7616170761937351,0.6455826273825872,0.6651375362250611,0.5954962303528794
binary,auc,0.0,0.0,0.1,50,10,10,0.6826095652974593,0.5997489135307094,0.6575689454766879,0.5870386463646132
binary,auc,0.0,0.0,0.1,50,10,20,0.7093840729128736,0.6164124342500972,0.6670211610447682,0.5972737592374324
binary,auc,0.0,0.0,0.1,50,10,50,0.7498398200925757,0.6360288084960645,0.6680875293197843,0.5966366999527394
binary,auc,0.0,0.0,0.1,50,10,100,0.7815251422713234,0.6536004922213032,0.6619439035652923,0.5918329073601298
